requete,formattage,lat,lng
"impasse+Baudricourt,Paris,France","Impasse Baudricourt, 75013 Paris, France",48.8254544,2.3623219
"rue+Henri+Becque,Paris,France","Rue Henri Becque, 75013 Paris, France",48.82522729999999,2.3424325
"rue+Lesage,Paris,France","Rue Lesage, 75020 Paris, France",48.87226889999999,2.3817883
"rue+Ligner,Paris,France","Rue Ligner, 75020 Paris, France",48.8575774,2.3973012
"cite+Antoine+Loubeyre,Paris,France","Cite Antoine Loubeyre, 75020 Paris, France",48.8707632,2.3889981
"place+du+General+Tessier+de+Marguerittes,Paris,France","Place du General Tessier de Marguerittes, 75020 Paris, France",48.8512093,2.410245
"place+Henri+Matisse,Paris,France","Place Henri Matisse, 75020 Paris, France",48.8661553,2.3908992
"allee+des+Mauves,Paris,France","Allee des Mauves, 75020 Paris, France",48.85702,2.408184
"rue+Paul+Meurice,Paris,France","Rue Paul Meurice, 75020 Paris, France",48.875688,2.4111733
"rue+Mondonville,Paris,France","Rue Mondonville, 75020 Paris, France",48.8659703,2.406718300000001
"rue+Saint-Just,Paris,France","Rue Saint-Just, 75017 Paris, France",48.8964922,2.3136744
"rue+Labie,Paris,France","Rue Labie, 75017 Paris, France",48.8792281,2.2879925
"rue+du+Capitaine+Lagache,Paris,France","Rue du Capitaine Lagache, 75017 Paris, France",48.8921457,2.3254377
"rue+Toulouse+Lautrec,Paris,France","Rue Toulouse Lautrec, 75017 Paris, France",48.90095030000001,2.327244
"place+Monseigneur+Loutil,Paris,France","Paris, France",48.856614,2.3522219
"rue+Margueritte,Paris,France","Rue Margueritte, 75017 Paris, France",48.8808035,2.3004543
"impasse+Marty,Paris,France","Impasse Marty, 75017 Paris, France",48.8969026,2.3252127
"passage+Saint-Michel,Paris,France","Passage Saint-Michel, Paris, France",48.8886994,2.3254525
"square+Monceau,Paris,France","Square Monceau, 75017 Paris, France",48.8820862,2.3180756
"place+Richard+De+Coudenhove-Kalergi,Paris,France","Place Richard de Coudenhove-Kalergi, 75116 Paris, France",48.8704471,2.2954803
"place+du+Docteur+Paul+Michaux,Paris,France","Place du Dr Paul Michaux, 75016 Paris, France",48.8383268,2.2551507
"rue+Mignard,Paris,France","Rue Mignard, 75116 Paris, France",48.863361,2.27438
"rue+Mignet,Paris,France","Rue Mignet, 75016 Paris, France",48.8490905,2.2693822
"square+Mignot,Paris,France","Square Mignot, 75116 Paris, France",48.8620836,2.2831202
"avenue+Moliere,Paris,France","Avenue Moliere, 75016 Paris, France",48.844457,2.262890000000001
"rue+Molitor,Paris,France","Rue Molitor, 75016 Paris, France",48.84524,2.2618841
"avenue+Albert+Ier+de+Monaco.,Paris,France","Avenue Albert 1er de Monaco, 75116 Paris, France",48.8616494,2.2899844
"place+Jean+Monnet,Paris,France","Rue Jean Monnet, 94270 Le Kremlin-Bicetre, France",48.8097311,2.3611024
"avenue+de+Montespan,Paris,France","Avenue de Montespan, 75116 Paris, France",48.8654956,2.2776975
"avenue+Albert+De+Mun,Paris,France","Avenue Albert de Mun, 75116 Paris, France",48.8629962,2.291873
"villa+George+Sand,Paris,France","Villa George Sand, 75016 Paris, France",48.8502918,2.2684985
"boulevard+Jules+Sandeau,Paris,France","Boulevard Jules Sandeau, 75116 Paris, France",48.862137,2.2726224
"square+Victorien+Sardou,Paris,France","Square Victorien Sardou, 75016 Paris, France",48.84332970000001,2.2673381
"porte+de+la+Seine,Paris,France","Quai de la Seine, 75019 Paris, France",48.8866796,2.3745539
"rue+de+Siam,Paris,France","Rue de Siam, 75116 Paris, France",48.8622403,2.2747064
"rue+Singer,Paris,France","Rue Singer, 75016 Paris, France",48.856439,2.2769451
"villa+Spontini,Paris,France","Villa Spontini, 75116 Paris, France",48.8680767,2.2781152
"chemin+de+Ceinture+Du+Lac+Superieur,Paris,France","Chemin de Ceinture du Lac Superieur, 75016 Paris, France",48.85684850000001,2.2562933
"avenue+des+Sycomores,Paris,France","Avenue des Sycomores, 75016 Paris, France",48.8501896,2.2626112
"rue+Emile+Richard,Paris,France","Rue Emile Richard, 75014 Paris, France",48.8385602,2.3295382
"rue+de+Bellevue,Paris,France","Rue de Bellevue, 75019 Paris, France",48.8794884,2.3943301
"rue+Emile+Bollaert,Paris,France","Rue Emile Bollaert, 75019 Paris, France",48.8998467,2.3758191
"passage+de+la+Brie,Paris,France","Passage de la Brie, 75019 Paris, France",48.8808751,2.3722987
"place+BZ/19,Paris,France","Paris, France",48.856614,2.3522219
"rue+de+Cambo,Paris,France","Rue de Cambo, 75019 Paris, France",48.8780213,2.3974387
"villa+Cantate,Paris,France","Villa Cantate, 75019 Paris, France",48.8901463,2.3863353
"quai+de+la+Charente,Paris,France","Quai de la Charente, 75019 Paris, France",48.895848,2.3844599
"rue+des+Chaufourniers,Paris,France","Rue des Chaufourniers, 75019 Paris, France",48.8781177,2.3734531
"rue+de+Colmar,Paris,France","Rue de Colmar, 75019 Paris, France",48.88816449999999,2.3805043
"rue+Compans,Paris,France","Rue Compans, Paris, France",48.87878980000001,2.3926091
"rue+Abel+Rabaud,Paris,France","Rue Abel Rabaud, 75011 Paris, France",48.8694088,2.3718278
"rue+de+la+Folie-Regnault,Paris,France","Rue de la Folie-Regnault, 75011 Paris, France",48.859611,2.386698
"avenue+de+la+Republique,Paris,France","Avenue de la Republique, 75011 Paris, France",48.864847,2.3767457
"rue+de+la+Fontaine+Au+Roi,Paris,France","Rue de la Fontaine au Roi, 75011 Paris, France",48.8681625,2.3737312
"rue+Roubo,Paris,France","Rue Roubo, 75011 Paris, France",48.8496915,2.3873444
"passage+Saint-Sabin,Paris,France","Passage Saint-Sabin, 75011 Paris, France",48.8552065,2.3727498
"passage+Salarnier,Paris,France","Passage Salarnier, 75011 Paris, France",48.8570594,2.373869
"cour+Sedaine,Paris,France","Cour Sedaine, 75011 Paris, France",48.8566772,2.3743828
"rue+Spinoza,Paris,France","Rue Spinoza, 75011 Paris, France",48.86356070000001,2.3857553
"rue+Gaby+Sylvia,Paris,France","Rue Gaby Sylvia, 75011 Paris, France",48.85896469999999,2.3709109
"rue+Titon,Paris,France","Rue Titon, 75011 Paris, France",48.85187819999999,2.3863788
"rue+Clotilde+De+Vaux,Paris,France","Rue Clotilde de Vaux, 75011 Paris, France",48.8576811,2.3682757
"rue+du+Faubourg+Saint-Antoine,Paris,France","Rue du Faubourg Saint-Antoine, Paris, France",48.8502987,2.3824653
"porte+du+Bel+Air,Paris,France","Porte Doree, 75012 Paris, France",48.83544879999999,2.4067461
"avenue+de+Bel+Air,Paris,France","Avenue de Bel air, Paris, France",48.8431775,2.421542
"avenue+du+Bel+Air,Paris,France","Avenue du Bel air, 75012 Paris, France",48.846515,2.3974351
"place+Louis+Armand,Paris,France","Place Louis Armand, 75012 Paris, France",48.8448789,2.3728401
"rue+d'Artagnan,Paris,France","Rue d'Artagnan, 75012 Paris, France",48.8454365,2.3857161
"impasse+des+Arts,Paris,France","Metiers Art Museum, 60 Rue Reaumur, 75003 Paris, France",48.86663919999999,2.3554383
"rue+d'Austerlitz,Paris,France","Rue d'Austerlitz, 75012 Paris, France",48.8470588,2.3707364
"route+du+Bac,Paris,France","Route du Bac, 75012 Paris, France",48.8270322,2.4137381
"impasse+Barrier,Paris,France","Impasse Barrier, 75012 Paris, France",48.8478281,2.3801244
"villa+Belliard,Paris,France","Villa Belliard, 75018 Paris, France",48.8954709,2.329025
"place+Charles+Bernard,Paris,France","Place Charles Bernard, 75018 Paris, France",48.8934096,2.3429706
"rue+Bervic,Paris,France","Rue Bervic, 75018 Paris, France",48.8840657,2.3489428
"voie+BF/18,Paris,France","Paris, France",48.856614,2.3522219
"voie+BG/18,Paris,France","Paris, France",48.856614,2.3522219
"rue+Rene+Binet,Paris,France","Rue Rene Binet, 75018 Paris, France",48.89921710000001,2.3401153
"voie+BK/18,Paris,France","Paris, France",48.856614,2.3522219
"rue+Emile+Blemont,Paris,France","Rue Emile Blemont, 75018 Paris, France",48.894614,2.3416269
"voie+BN/18,Paris,France","18 Voie Bn 17, 75017 Paris, France",48.8865589,2.2865409
"voie+BR/18,Paris,France","18 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.833382,2.2601481
"voie+BG/16,Paris,France","Paris, France",48.856614,2.3522219
"square+du+Docteur+Blanche,Paris,France","Square du Dr Blanche, 75016 Paris, France",48.8522676,2.2649725
"rue+du+Docteur+Blanche,Paris,France","Rue du Dr Blanche, 75016 Paris, France",48.85385609999999,2.265351
"quai+Louis+Bleriot,Paris,France","Quai Louis Bleriot, 75016 Paris, France",48.845279,2.2726607
"voie+BM/16,Paris,France","Paris, France",48.856614,2.3522219
"rue+du+Pasteur+Marc+Boegner,Paris,France","Rue du Pasteur Marc Boegner, 75116 Paris, France",48.8634919,2.2815935
"rue+Louis+Boilly,Paris,France","Rue Louis Boilly, 75016 Paris, France",48.8593662,2.2663201
"place+de+Bolivie,Paris,France","Place de Bolivie, 75016 Paris, France",48.85454379999999,2.2835912
"rue+de+Boulainvilliers,Paris,France","Rue de Boulainvilliers, Paris, France",48.8546322,2.2754179
"allee+des+Bouleaux,Paris,France","Allee des Bouleaux, Paris, France",48.87273,2.2622049
"rue+Paul-Jean+Toulet,Paris,France","Rue Paul-Jean Toulet, 75020 Paris, France",48.8574361,2.4063527
"villa+Dury-Vasselon,Paris,France","Villa Dury-Vasselon, 75020 Paris, France",48.8759649,2.4037208
"rue+Jean+Veber,Paris,France","Rue Jean Veber, 75020 Paris, France",48.8625231,2.4101493
"place+de+l'Adjudant+Vincenot,Paris,France","Place de l'Adjudant Vincenot, 75020 Paris, France",48.870678,2.408339
"rue+Albert+Willemetz,Paris,France","Rue Albert Willemetz, 75020 Paris, France",48.8483506,2.4155959
"allee+Alexandre+Vialatte,Paris,France","Allee Alexandre Vialatte, 75013 Paris, France",48.8218708,2.3570512
"allee+Christian+Pineau,Paris,France","Paris, France",48.856614,2.3522219
"rue+Jean+Oberle,Paris,France","Rue Jean Oberle, 75019 Paris, France",48.8997244,2.3704379
"allee+du+Philosophe,Paris,France","Allee du Philosophe, 75011 Paris, France",48.8557299,2.384505
"rue+Jean-Baptiste+Say,Paris,France","Rue Jean-Baptiste Say, 75009 Paris, France",48.88143280000001,2.3416426
"rue+Jean+Pierre-Bloch,Paris,France","Rue Jean-Pierre Bloch, 75015 Paris, France",48.8534227,2.2959913
"voie+CQ/15,Paris,France","Paris, France",48.856614,2.3522219
"voie+CR/15,Paris,France","15 Avenue la Voie Lactee, 92100 Boulogne-Billancourt, France",48.83327730000001,2.260195
"place+Olympe+de+Gouges,Paris,France","Olympe de Gouges, Rue Albert Einstein, 75013 Paris, France",48.8265903,2.3822295
"rue+Francois+Bloch-Laine,Paris,France","Rue Francois Bloch-Laine, 75013 Paris, France",48.8405749,2.3691578
"voie+FF/13,Paris,France","Paris, France",48.856614,2.3522219
"place+Jean+Pronteau,Paris,France","Place Jean Pronteau, 75014 Paris, France",48.8342867,2.3214386
"esplanade+Jacques+Chaban-Delmas,Paris,France","Esplanade Jacques Chaban-Delmas, 75007 Paris, France",48.8479198,2.3116517
"voie+EW/13,Paris,France","Paris, France",48.856614,2.3522219
"voie+CW/15,Paris,France","Paris, France",48.856614,2.3522219
"place+Chavarche+Missakian,Paris,France","Paris, France",48.856614,2.3522219
"place+Emmanuel+Levinas,Paris,France","Place Emmanuel Levinas, 75005 Paris, France",48.844569,2.3479188
"allee+Pierre-Christian+Taittinger,Paris,France","Paris, France",48.856614,2.3522219
"voie+B/4,Paris,France","4U Voie 24, 75015 Paris, France",48.8381976,2.315009
"rue+Isabey,Paris,France","Rue Isabey, 75016 Paris, France",48.8487133,2.2635149
"rue+Jasmin,Paris,France","Rue Jasmin, 75016 Paris, France",48.852024,2.2667652
"voie+CM/16,Paris,France","Paris, France",48.856614,2.3522219
"rue+du+Conseiller+Collignon,Paris,France","Rue du Conseiller Collignon, 75116 Paris, France",48.85942499999999,2.2728064
"rue+Dumont+d'Urville,Paris,France","Rue Dumont d'Urville, 75116 Paris, France",48.8701269,2.2940474
"villa+Erlanger,Paris,France","Villa Erlanger, 75016 Paris, France",48.8461327,2.2617655
"villa+de+la+Faisanderie,Paris,France","Villa de la Faisanderie, 75116 Paris, France",48.87017040000001,2.2753497
"square+des+Ecrivains+Combattants+Morts+Pour+La+France,Paris,France","Square des Ecrivains Combattants Morts pour la France, 75016 Paris, France",48.8597911,2.2655625
"square+Theophile+Gautier,Paris,France","Square Theophile Gautier, 75016 Paris, France",48.8476886,2.2700666
"place+de+l'Amiral+De+Grasse,Paris,France","Place de l'Amiral de Grasse, 75116 Paris, France",48.867664,2.2953781
"rue+Gauguet,Paris,France","Rue Gauguet, 75014 Paris, France",48.8261116,2.3341488
"rue+Guilleminot,Paris,France","Rue Guilleminot, 75014 Paris, France",48.8356192,2.3172266
"villa+Halle,Paris,France","Villa Halle, 75014 Paris, France",48.83097,2.332082
"rue+du+Faubourg+Saint-Jacques,Paris,France","Rue du Faubourg Saint-Jacques, 75014 Paris, France",48.8362865,2.338019
"rue+Edouard+Jacques,Paris,France","Rue Edouard Jacques, 75014 Paris, France",48.8351215,2.3218218
"villa+Jamot,Paris,France","Villa Jamot, 75014 Paris, France",48.8276218,2.3167152
"rue+Jolivet,Paris,France","Rue Jolivet, 75014 Paris, France",48.84088209999999,2.3237438
"rue+Lalande,Paris,France","Rue Lalande, 75014 Paris, France",48.8343897,2.3284591
"rue+Larochelle,Paris,France","Rue Larochelle, 75014 Paris, France",48.839167,2.3236875
"rue+Wilfrid+Laurier,Paris,France","Rue Wilfrid Laurier, 75014 Paris, France",48.8267484,2.3066134
"rue+du+General+Sere+de+Rivieres,Paris,France","Rue du General Sere de Rivieres, 75014 Paris, France",48.8258096,2.3111842
"rue+Maurice+Rouvier,Paris,France","Rue Maurice Rouvier, 75014 Paris, France",48.8308632,2.3100844
"rue+Sarrette,Paris,France","Rue Sarrette, 75014 Paris, France",48.8262211,2.3291275
"villa+Adrienne+Simon,Paris,France","Villa Adrienne Simon, 75014 Paris, France",48.8350878,2.3280243
"rue+Albert+Sorel,Paris,France","Rue Albert Sorel, 75014 Paris, France",48.8234339,2.3222622
"rue+Vandamme,Paris,France","Rue Vandamme, 75014 Paris, France",48.839527,2.3228812
"place+de+la+Porte+de+Vanves,Paris,France","Place de la Porte de Chatillon, 75014 Paris, France",48.8242392,2.3187362
"passage+de+la+Tour+de+Vanves,Paris,France","Passage de la Tour de Vanves, 75014 Paris, France",48.8347349,2.3232131
"square+de+la+Porte+de+Vanves,Paris,France","Porte de Vanves, 75014 Paris, France",48.827571,2.305935
"rue+du+Moulin+Vert,Paris,France","Rue du Moulin Vert, 75014 Paris, France",48.8303145,2.3220079
"voie+CG/17,Paris,France","Paris, France",48.856614,2.3522219
"rue+Blanche-Antoinette,Paris,France","Rue Blanche-Antoinette, 75019 Paris, France",48.8821352,2.3900002
"rue+des+Ardennes,Paris,France","Rue des Ardennes, 75019 Paris, France",48.8887521,2.3859427
"rue+des+Sept+Arpents,Paris,France","Rue des Sept Arpents, 75019 Paris, France",48.8895065,2.3983288
"rue+Alphonse+Aulard,Paris,France","Rue Alphonse Aulard, 75019 Paris, France",48.8805375,2.3996587
"rue+Barbanegre,Paris,France","Rue Barbanegre, 75019 Paris, France",48.8928527,2.3838731
"place+Auguste+Baron,Paris,France","Place Auguste Baron, 75019 Paris, France",48.9001355,2.3873175
"villa+Remi+Belleau,Paris,France","Villa Remi Belleau, 75019 Paris, France",48.8851642,2.3773427
"rue+Bellot,Paris,France","Rue Bellot, Paris, France",48.8860569,2.3674546
"voie+BG/19,Paris,France","Paris, France",48.856614,2.3522219
"passage+Binder,Paris,France","Passage Binder, 75019 Paris, France",48.8843022,2.3825701
"passage+Trubert-Bellier,Paris,France","Passage Trubert-Bellier, 75013 Paris, France",48.8244666,2.3511426
"rue+du+Dessous+des+Berges,Paris,France","Rue du Dessous des Berges, 75013 Paris, France",48.8270849,2.3742086
"rue+de+la+Maison+Blanche,Paris,France","Rue de la Maison Blanche, 75013 Paris, France",48.82593989999999,2.3581046
"avenue+Leon+Bollee,Paris,France","Avenue Leon Bollee, 75013 Paris, France",48.8179705,2.362025
"rue+Fernand+Braudel,Paris,France","Rue Fernand Braudel, 75013 Paris, France",48.8356308,2.3729798
"rue+Le+Brun,Paris,France","Rue le Brun, Paris, France",48.8363064,2.3548484
"rue+Gerty+Archimede,Paris,France","Rue Gerty Archimede, 75012 Paris, France",48.8354062,2.387736
"rue+du+Docteur+Lucas-Championniere,Paris,France","Rue du Dr Lucas-Championniere, 75013 Paris, France",48.8227233,2.3548324
"rue+Charcot,Paris,France","Rue Charcot, 75013 Paris, France",48.8307277,2.3711636
"rue+de+Croulebarbe,Paris,France","Rue de Croulebarbe, 75013 Paris, France",48.8326179,2.3508998
"avenue+d'Ivry,Paris,France","Avenue d'Ivry, 75013 Paris, France",48.8237768,2.3648133
"quai+d'Ivry,Paris,France","Quai d'Ivry, 75013 Paris, France",48.8262398,2.3869767
"rue+Jenner,Paris,France","Rue Jenner, 75013 Paris, France",48.8354939,2.3619141
"rue+Jonas,Paris,France","Rue Jonas, 75013 Paris, France",48.828944,2.3504074
"rue+du+Jura,Paris,France","Rue du Jura, Paris, France",48.8374182,2.3560434
"rue+Kuss,Paris,France","Rue Kuss, 75013 Paris, France",48.8221717,2.3514565
"rue+Lahire,Paris,France","Rue Lahire, 75013 Paris, France",48.8296888,2.3663371
"rue+Dupuy+De+Lome,Paris,France","Rue Dupuy de Lome, 75013 Paris, France",48.8214784,2.3711735
"place+Albert+Londres,Paris,France","Place Albert Londres, 75013 Paris, France",48.8241425,2.3630372
"rue+Edouard+Manet,Paris,France","Rue Edouard Manet, 75013 Paris, France",48.83283669999999,2.3577882
"rue+de+la+Vistule,Paris,France","Rue de la Vistule, 75013 Paris, France",48.8233673,2.360641
"voie+Y/13,Paris,France","13Z Voie Communale en 19, 75019 Paris, France",48.8997505,2.3780913
"boulevard+Arago,Paris,France","Boulevard Arago, Paris, France",48.83483830000001,2.3422845
"rue+Colette+Magny,Paris,France","Rue Colette Magny, 75019 Paris, France",48.8949858,2.3762637
"rue+de+l'Empereur+Valentinien,Paris,France","Rue de l'Empereur Valentinien, 75014 Paris, France",48.8262268,2.3376725
"voie+AR/14,Paris,France","Paris, 14380, France",48.943447,-1.055286
"rue+d'Arcueil,Paris,France","Rue d'Arcueil, 75014 Paris, France",48.820455,2.3428399
